Pays ;score_de_paix
Islande;1.112
Irlande;1.303
Autriche;1.313
Nouvelle-Zélande;1.323
Singapour;1.339
Suisse;1.35
Portugal;1.372
Danemark;1.382
Slovénie;1.395
Malaisie;1.427
Canada;1.449
Tchéquie;1.459
Finlande;1.474
Hongrie;1.502
Croatie;1.504
Belgique;1.51
Japon;1.525
Pays-Bas;1.527
Australie;1.536
Allemagne;1.542
Bhoutan;1.564
Maurice;1.577
Espagne;1.597
Estonie;1.615
Koweït;1.622
Bulgarie;1.629
Slovaquie;1.634
Norvège;1.638
Qatar;1.656
Lettonie;1.661
Lituanie;1.672
Pologne;1.678
Italie;1.692
Royaume-Uni;1.703
Monténégro;1.746
Roumanie;1.755
Oman;1.761
Macédoine du Nord;1.764
Suède;1.782
Grèce;1.793
Vietnam;1.802
Albanie;1.809
Taïwan;1.818
Madagascar;1.838
Mongolie;1.845
Corée du Sud;1.848
Argentine;1.855
Indonésie;1.857
Laos;1.861
Botswana;1.863
Timor-Leste;1.882
Uruguay;1.893
Émirats arabes unis;1.897
Serbie;1.93
Ghana;1.938
Kosovo;1.945
Zambie;1.948
Costa Rica;1.95
Kazakhstan;1.954
Ouzbékistan;1.957
Bosnie-Herzégovine;1.961
Namibie;1.972
Moldavie;1.976
Chili;1.978
Tanzanie;1.987
Sierra Leone;1.993
Jordanie;1.998
Bolivie;2.009
Libéria;2.025
Chypre;2.026
Cambodge;2.028
Tadjikistan;2.035
Angola;2.043
Paraguay;2.044
Tunisie;2.044
Thaïlande;2.048
Arménie;2.052
République kirghize;2.053
Maroc;2.054
Malawi;2.063
Népal;2.069
Bahreïn;2.072
Gambie;2.079
Turkménistan;2.079
Sénégal;2.084
Guinée-Bissau;2.085
France;2.088
Trinité-et-Tobago;2.092
Chine;2.101
Algérie;2.11
Jamaïque;2.119
Rwanda;2.12
Bangladesh;2.126
Guinée équatoriale;2.132
Mauritanie;2.136
Panama;2.14
République dominicaine;2.157
Cuba;2.16
Pérou;2.179
Géorgie;2.195
Sri Lanka;2.195
Arabie saoudite;2.206
Eswatini;2.209
Philippines;2.21
Égypte;2.212
Azerbaïdjan;2.248
Mozambique;2.25
Salvador;2.25
Côte d’Ivoire;2.255
République du Congo;2.261
Guyana;2.286
Biélorussie;2.291
Nicaragua;2.295
Bénin;2.306
Papouasie-Nouvelle-Guinée;2.315
Inde;2.319
Guatemala;2.332
Gabon;2.372
Djibouti;2.374
Togo;2.381
Zimbabwe;2.396
Kenya;2.409
Honduras;2.415
Guinée;2.423
Lesotho;2.461
Ouganda;2.477
Afrique du Sud;2.507
Libye;2.528
Burundi;2.567
Équateur;2.572
Brésil;2.589
États-Unis d’Amérique;2.622
Iran;2.682
Liban;2.693
Tchad;2.704
Érythrée;2.748
Cameroun;2.773
Mexique;2.778
Turquie;2.78
Pakistan;2.783
Niger;2.792
Venezuela;2.821
Haïti;2.827
Éthiopie;2.845
Palestine;2.872
Colombie;2.887
Nigéria;2.907
Myanmar;2.943
Burkina Faso;2.969
République centrafricaine;3.009
Irak;3.045
Corée du Nord;3.055
Somalie;3.091
Mali;3.095
Israël;3.115
Russie;3.134
Syrie;3.173
République démocratique du Congo;3.264
Ukraine;3.28
Afghanistan;3.294
Soudan du Sud;3.324
Soudan;3.327
Yémen;3.397
