Pays;Absence_acces_alimentation_saine (%pop)
Albania;12.2
Algeria;19.7
Angola;72.2
Armenia;54.9
Australia;3.2
Austria;2.9
Azerbaijan;0.7
Bangladesh;48.2
Belarus;1
Belgium;0.7
Belize;61.8
Benin;56.8
Bhutan;5.3
Bolivia;8.5
Bosnia and Herzegovina;5.8
Botswana;60.3
Brazil;25.3
Bulgaria;5.8
Burkina Faso;63.1
Burundi;89.6
Cabo Verde;30.5
Cameroon;55.9
Canada;2.7
Central African Republic;86.7
Chad;60.8
Chile;40.4
China;17.5
Colombia;36.6
Congo, Dem. Rep.;91.4
Congo, Rep.;79.1
Costa Rica;15.9
Cote d'Ivoire;49.7
Croatia;13.5
Cyprus;1.8
Czechia;4.2
Denmark;0.9
Djibouti;53.6
Dominican Republic;24.8
East Asia & Pacific;22
Ecuador;25.9
Egypt, Arab Rep.;44.4
Estonia;5.1
Eswatini;65
Ethiopia;54.1
Fiji;59
Finland;0.8
France;3.1
Gabon;37.3
Gambia, The;44
Germany;2.2
Ghana;63
Greece;18.3
Grenada;21.1
Guatemala;43.9
Guinea;37.4
Guinea-Bissau;64
Guyana;9.4
Haiti;83.6
Honduras;39
Hungary;10.5
Iceland;0.4
India;55.6
Indonesia;46.5
Iran, Islamic Rep.;15.8
Iraq;26.7
Ireland;1
Israel;16.5
Italy;6.9
Jamaica;22.1
Japan;7.5
Jordan;13
Kazakhstan;5.6
Kenya;79.2
Korea, Rep.;9
Kyrgyz Republic;35.9
Lao PDR;57.1
Latvia;12.7
Lebanon;2.9
Lesotho;76.3
Liberia;64.1
Lithuania;9
Luxembourg;1.9
Madagascar;93.6
Malawi;89.6
Malaysia;1.8
Maldives;1.6
Mali;58.7
Malta;2.4
Mauritania;55.2
Mauritius;17.5
Mexico;22.5
Moldova;11.9
Mongolia;19.6
Montenegro;12.1
Morocco;12.7
Mozambique;89.3
Myanmar;56.3
Namibia;57.1
Nepal;41.1
Netherlands;1.1
Nicaragua;27.3
Niger;86.3
Nigeria;78.7
North Macedonia;19.4
Norway;1.5
Pakistan;58.7
Panama;43.5
Paraguay;24.1
Peru;33.6
Philippines;48.1
Poland;6.6
Portugal;12
Romania;55.9
Russian Federation;2
Rwanda;75.7
Sao Tome and Principe;51.3
Senegal;49.5
Serbia;8.1
Seychelles;45.3
Sierra Leone;62.5
Slovak Republic;17.7
Slovenia;1.4
South Africa;61.2
Spain;8.9
Sri Lanka;41.1
St. Lucia;8.5
Sudan;33.7
Suriname;25.5
Sweden;3.6
Switzerland;1.2
Tajikistan;28.6
Tanzania;75.5
Thailand;16.4
Togo;54.6
Trinidad and Tobago;39.1
Tunisia;7.3
Turkiye;6.1
Uganda;72.5
United Arab Emirates;2.3
United Kingdom;2.5
United States;2.5
Uruguay;36.1
Uzbekistan;15
Viet Nam;9.4
West Bank and Gaza;4.4
Zambia;81.7
