Pays;Esperance_vie_naissance (années)
Afghanistan;62.879
Albania;76.833
Algeria;77.129
Angola;61.929
Antigua and Barbuda;79.236
Argentina;76.064
Armenia;73.372
Aruba;74.992
Australia;83.2
Austria;81.0926829268293
Azerbaijan;73.488
Bahamas, The;74.358
Bahrain;79.246
Bangladesh;73.698
Barbados;77.706
Belarus;73.1114634146342
Belgium;81.6975609756098
Belize;70.962
Benin;59.954
Bermuda;81.571
Bhutan;72.229
Bolivia;64.928
Bosnia and Herzegovina;75.293
Botswana;65.913
Brazil;73.425
British Virgin Islands;76.373
Brunei Darussalam;74.551
Bulgaria;74.3609756097561
Burkina Faso;59.766
Burundi;61.977
Cabo Verde;74.722
Cambodia;69.896
Cameroon;60.958
Canada;81.2956097560976
Central African Republic;54.477
Chad;52.997
Channel Islands;81.583
Chile;79.519
China;78.587
Colombia;73.659
Comoros;63.68
Congo, Dem. Rep.;59.743
Congo, Rep.;63.053
Costa Rica;77.32
Cote d'Ivoire;58.916
Croatia;77.5756097560976
Cuba;78.155
Cyprus;81.889
Czechia;79.0292682926829
Denmark;81.3048780487805
Djibouti;62.859
Dominica;72.981
Dominican Republic;74.17
Ecuador;77.894
Egypt, Arab Rep.;70.159
El Salvador;71.475
Equatorial Guinea;61.19
Eritrea;66.604
Estonia;77.9439024390244
Eswatini;56.36
Ethiopia;65.645
Faroe Islands;83.3
Fiji;68.312
Finland;81.1878048780488
France;82.2292682926829
French Polynesia;83.55
Gabon;65.694
Gambia, The;62.906
Georgia;71.587
Germany;80.7056097560976
Ghana;63.945
Gibraltar;82.83
Greece;80.6365853658537
Greenland;71.5404878048781
Grenada;75.335
Guam;78.33
Guatemala;68.674
Guinea;58.985
Guinea-Bissau;59.861
Guyana;65.989
Haiti;63.728
Honduras;70.728
Hong Kong SAR, China;83.6609756097561
Hungary;76.0170731707317
Iceland;82.1707317073171
India;67.744
Indonesia;68.25
Iran, Islamic Rep.;74.556
Iraq;71.336
Ireland;83.0560975609756
Isle of Man;80.762
Israel;82.7
Italy;82.9
Jamaica;70.629
Japan;83.9963414634146
Jordan;74.215
Kazakhstan;74.44
Kenya;62.055
Kiribati;67.661
Korea, Dem. People's Rep.;73.578
Korea, Rep.;82.6804878048781
Kosovo;79.524
Kuwait;80.264
Kyrgyz Republic;72.0487804878049
Lao PDR;68.999
Latvia;74.580487804878
Lebanon;74.416
Lesotho;53.036
Liberia;61.1
Libya;72.151
Liechtenstein;84.319512195122
Lithuania;75.7926829268293
Luxembourg;83.0463414634146
Macao SAR, China;85.377
Madagascar;65.23
Malawi;62.898
Malaysia;76.26
Maldives;80.839
Mali;59.417
Malta;82.7
Marshall Islands;65.146
Mauritania;64.691
Mauritius;73.5146341463415
Mexico;74.832
Micronesia, Fed. Sts.;70.925
Moldova;68.621
Mongolia;72.667
Montenegro;76.1878048780488
Morocco;74.973
Mozambique;59.625
Myanmar;67.256
Namibia;58.059
Nauru;64.014
Nepal;70.484
Netherlands;81.7146341463415
New Caledonia;80.9820731707317
New Zealand;82.7609756097561
Nicaragua;74.615
Niger;62.08
Nigeria;53.633
North Macedonia;74.4248780487805
Norway;82.5609756097561
Oman;73.935
Pakistan;66.431
Panama;76.826
Papua New Guinea;65.958
Paraguay;70.475
Peru;73.385
Philippines;72.187
Poland;77.3048780487805
Portugal;81.5804878048781
Puerto Rico;79.72
Qatar;81.559
Romania;75.3048780487805
Russian Federation;72.5456097560976
Rwanda;67.129
Samoa;72.598
Sao Tome and Principe;68.794
Saudi Arabia;77.905
Senegal;67.913
Serbia;75.4821951219512
Seychelles;73.8487804878049
Sierra Leone;60.411
Singapore;82.8951219512195
Sint Maarten (Dutch part);74.409
Slovak Republic;77.0658536585366
Slovenia;81.2829268292683
Solomon Islands;70.742
Somalia;56.107
South Africa;61.48
South Sudan;55.567
Spain;83.0829268292683
Sri Lanka;76.61
St. Kitts and Nevis;72.027
St. Lucia;71.294
St. Martin (French part);80.55
St. Vincent and the Grenadines;68.972
Sudan;65.578
Suriname;70.289
Sweden;83.109756097561
Switzerland;83.4536585365854
Syrian Arab Republic;72.3
Tajikistan;71.288
Tanzania;66.782
Thailand;79.68
Timor-Leste;69.056
Togo;61.588
Tonga;71.27
Trinidad and Tobago;74.708
Tunisia;74.263
Turkiye;78.475
Turkmenistan;69.41
Turks and Caicos Islands;74.925
Tuvalu;64.854
Uganda;63.638
Ukraine;68.5879268292683
United Arab Emirates;79.196
United Kingdom;82.0585365853659
United States;77.4341463414634
Uruguay;78
Uzbekistan;71.674
Vanuatu;70.492
Venezuela, RB;71.105
Viet Nam;74.58
Virgin Islands (U.S.);80.319512195122
West Bank and Gaza;73.444
Yemen, Rep.;63.72
Zambia;61.803
Zimbabwe;59.391
