Pays;Population (en milliers)
Afghanistan;42239,854
Albania;2745,972
Algeria;45606,48
American Samoa;43,914
Andorra;80,088
Angola;36684,202
Antigua and Barbuda;94,298
Argentina;46654,581
Armenia;2777,97
Aruba;106,277
Australia;26638,544
Austria;9132,383
Azerbaijan;10112,555
Bahamas, The;412,623
Bahrain;1485,509
Bangladesh;172954,319
Barbados;281,995
Belarus;9178,298
Belgium;11822,592
Belize;410,825
Benin;13712,828
Bermuda;63,489
Bhutan;787,424
Bolivia;12388,571
Bosnia and Herzegovina;3210,847
Botswana;2675,352
Brazil;216422,446
British Virgin Islands;31,538
Brunei Darussalam;452,524
Bulgaria;6430,37
Burkina Faso;23251,485
Burundi;13238,559
Cabo Verde;598,682
Cambodia;16944,826
Cameroon;28647,293
Canada;40097,761
Cayman Islands;69,31
Central African Republic;5742,315
Chad;18278,568
Channel Islands;175,346
Chile;19629,59
China;1410710
Colombia;52085,168
Comoros;852,075
Congo, Dem. Rep.;102262,808
Congo, Rep.;6106,869
Costa Rica;5212,173
Côte d'Ivoire;28873,034
Croatia;3853,2
Cuba;11194,449
Curaçao;147,862
Cyprus;1260,138
Czech Republic;10873,689
Denmark;5946,952
Djibouti;1136,455
Dominica;73,04
Dominican Republic;11332,972
Ecuador;18190,484
Egypt, Arab Rep.;112716,598
El Salvador;6364,943
Equatorial Guinea;1714,671
Eritrea;3748,901
Estonia;1366,188
Eswatini;1210,822
Ethiopia;126527,06
Faroe Islands;53,27
Fiji;936,375
Finland;5584,264
France;68170,228
French Polynesia;308,872
Gabon;2436,566
Gambia, The;2773,168
Georgia;3760,365
Germany;84482,267
Ghana;34121,985
Gibraltar;32,688
Greece;10361,295
Greenland;56,865
Grenada;126,183
Guam;172,952
Guatemala;17602,431
Guinea;14190,612
Guinea-Bissau;2150,842
Guyana;813,834
Haiti;11724,763
Honduras;10593,798
Hong Kong SAR, China;7536,1
Hungary;9589,872
Iceland;393,6
India;1428627,663
Indonesia;277534,122
Iran, Islamic Rep.;89172,767
Iraq;45504,56
Ireland;5262,382
Isle of Man;84,71
Israel;9756,7
Italy;58761,146
Jamaica;2825,544
Japan;124516,65
Jordan;11337,052
Kazakhstan;19900,177
Kenya;55100,586
Kiribati;133,515
Korea, Dem. People's Rep.;26160,821
Korea, Rep.;51712,619
Kosovo;1756,374
Kuwait;4310,108
Kyrgyz Republic;7100,8
Lao PDR;7633,779
Latvia;1881,75
Lebanon;5353,93
Lesotho;2330,318
Liberia;5418,377
Libya;6888,388
Liechtenstein;39,584
Lithuania;2871,897
Luxembourg;668,606
Macao SAR, China;704,149
Madagascar;30325,732
Malawi;20931,751
Malaysia;34308,525
Maldives;521,021
Mali;23293,698
Malta;553,214
Marshall Islands;41,996
Mauritania;4862,989
Mauritius;1261,041
Mexico;128455,567
Micronesia, Fed. Sts.;115,224
Moldova;2486,891
Monaco;36,297
Mongolia;3447,157
Montenegro;616,177
Morocco;37840,044
Mozambique;33897,354
Myanmar;54577,997
Namibia;2604,172
Nauru;12,78
Nepal;30896,59
Netherlands;17879,488
New Caledonia;267,94
New Zealand;5223,1
Nicaragua;7046,31
Niger;27202,843
Nigeria;223804,632
North Macedonia;1811,98
Northern Mariana Islands;49,796
Norway;5519,594
Oman;4644,384
Pakistan;240485,658
Palau;18,058
Panama;4468,087
Papua New Guinea;10329,931
Paraguay;6861,524
Peru;34352,719
Philippines;117337,368
Poland;36685,849
Portugal;10525,347
Puerto Rico;3205,691
Qatar;2716,391
Romania;19056,116
Russian Federation;143826,13
Rwanda;14094,683
Samoa;225,681
San Marino;33,642
São Tomé and Principe;231,856
Saudi Arabia;36947,025
Senegal;17763,163
Serbia;6618,026
Seychelles;119,773
Sierra Leone;8791,092
Singapore;5917,648
Sint Maarten (Dutch part);41,163
Slovak Republic;5426,74
Slovenia;2120,937
Solomon Islands;740,424
Somalia;18143,378
South Africa;60414,495
South Sudan;11088,796
Spain;48373,336
Sri Lanka;22037
St. Kitts and Nevis;47,755
St. Lucia;180,251
St. Martin (French part);32,077
St. Vincent and the Grenadines;103,698
Sudan;48109,006
Suriname;623,236
Sweden;10536,632
Switzerland;8849,852
Syrian Arab Republic;23227,014
Tajikistan;10143,543
Tanzania;67438,106
Thailand;71801,279
Timor-Leste;1360,596
Togo;9053,799
Tonga;107,773
Trinidad and Tobago;1534,937
Tunisia;12458,223
Türkiye;85326
Turkmenistan;6516,1
Turks and Caicos Islands;46,062
Tuvalu;11,396
Uganda;48582,334
Ukraine;37000
United Arab Emirates;9516,871
United Kingdom;68350
United States;334914,895
Uruguay;3423,108
Uzbekistan;36412,35
Vanuatu;334,506
Venezuela, RB;28838,499
Viet Nam;98858,95
Virgin Islands (U.S.);104,917
West Bank and Gaza;5165,775
Yemen, Rep.;34449,825
Zambia;20569,737
Zimbabwe;16665,409
