Pays;part_pop_urbaine%
Aruba;44.254
Afghanistan;26.933
Angola;68.688
Albania;64.603
Andorra;87.774
United Arab Emirates;87.779
Argentina;92.463
Armenia;63.739
American Samoa;87.235
Antigua and Barbuda;24.332
Australia;86.617
Austria;59.53
Azerbaijan;57.577
Burundi;14.784
Belgium;98.189
Benin;50.1
Burkina Faso;32.52
Bangladesh;40.473
Bulgaria;76.701
Bahrain;89.869
Bahamas, The;83.625
Bosnia and Herzegovina;50.269
Belarus;80.731
Belize;46.608
Bermuda;100
Bolivia;71.186
Brazil;87.788
Barbados;31.425
Brunei Darussalam;79.149
Bhutan;44.35
Botswana;72.867
Central African Republic;43.614
Canada;81.862
Switzerland;74.202
Channel Islands;31.159
Chile;88.012
China;64.57
Cote d'Ivoire;53.149
Cameroon;59.315
Congo, Dem. Rep.;47.444
Congo, Rep.;69.188
Colombia;82.354
Comoros;30.132
Cabo Verde;67.982
Costa Rica;82.622
Cuba;77.523
Curacao;89.023
Cayman Islands;100
Cyprus;66.987
Czechia;74.552
Germany;77.765
Djibouti;78.552
Dominica;72.006
Denmark;88.495
Dominican Republic;84.446
Algeria;75.268
Ecuador;64.792
Egypt, Arab Rep.;43.1
Eritrea;43.267
Spain;81.552
Estonia;69.81
Ethiopia;23.157
Finland;85.773
Fiji;58.713
France;81.777
Faroe Islands;42.987
Gabon;91.029
United Kingdom;84.642
Georgia;60.727
Ghana;59.238
Gibraltar;100
Guinea;38.085
Gambia, The;64.472
Guinea-Bissau;45.466
Equatorial Guinea;74.448
Greece;80.673
Grenada;37.059
Greenland;87.94
Guatemala;53.098
Guam;95.166
Guyana;27.162
Honduras;60.212
Croatia;58.575
Haiti;59.656
Hungary;72.864
Indonesia;58.572
Isle of Man;53.482
India;36.364
Ireland;64.466
Iran, Islamic Rep.;77.257
Iraq;71.599
Iceland;94.042
Israel;92.854
Italy;71.973
Jamaica;57.378
Jordan;92.02
Japan;92.043
Kazakhstan;58.179
Kenya;29.52
Kyrgyz Republic;37.801
Cambodia;25.57
Kiribati;57.762
St. Kitts and Nevis;31.096
Korea, Rep.;81.456
Kuwait;100
Lao PDR;38.247
Lebanon;89.432
Liberia;53.567
Libya;81.606
St. Lucia;19.172
Liechtenstein;14.617
Sri Lanka;19.211
Lesotho;30.415
Lithuania;68.694
Luxembourg;92.078
Latvia;68.671
Morocco;65.121
Monaco;100
Moldova;43.373
Madagascar;40.556
Maldives;41.971
Mexico;81.582
Marshall Islands;78.868
North Macedonia;59.479
Mali;46.189
Malta;94.941
Myanmar;32.112
Montenegro;68.502
Mongolia;69.089
Northern Mariana Islands;92.076
Mozambique;38.753
Mauritania;57.699
Mauritius;40.867
Malawi;18.28
Malaysia;78.716
Namibia;54.886
New Caledonia;72.719
Niger;17.054
Nigeria;54.283
Nicaragua;59.849
Netherlands;93.179
Norway;83.995
Nepal;21.903
Nauru;100
New Zealand;86.985
Oman;88.4
Pakistan;38.04
Panama;69.512
Peru;78.922
Philippines;48.287
Palau;82.408
Papua New Guinea;13.723
Poland;60.218
Puerto Rico;93.634
Korea, Dem. People's Rep.;63.203
Portugal;67.906
Paraguay;63.149
West Bank and Gaza;77.582
French Polynesia;62.288
Qatar;99.354
Romania;54.672
Russian Federation;75.331
Rwanda;17.892
Saudi Arabia;84.95
Sudan;36.342
Senegal;49.579
Singapore;100
Solomon Islands;26.037
Sierra Leone;44.3
El Salvador;75.393
San Marino;97.836
Somalia;47.92
Serbia;57.113
South Sudan;21.195
Sao Tome and Principe;76.401
Suriname;66.411
Slovak Republic;54.027
Slovenia;56.088
Sweden;88.738
Eswatini;24.79
Sint Maarten (Dutch part);100
Seychelles;58.82
Syrian Arab Republic;57.409
Turks and Caicos Islands;94.247
Chad;24.366
Togo;44.49
Thailand;53.608
Tajikistan;28.234
Turkmenistan;54.003
Timor-Leste;32.456
Tonga;23.16
Trinidad and Tobago;53.439
Tunisia;70.544
Turkiye;77.463
Tuvalu;66.241
Tanzania;37.409
Uganda;26.771
Ukraine;70.095
Uruguay;95.771
United States;83.298
Uzbekistan;50.532
St. Vincent and the Grenadines;54.299
Venezuela, RB;88.438
British Virgin Islands;49.748
Viet Nam;39.48
Vanuatu;25.976
Samoa;17.508
Yemen, Rep.;39.831
South Africa;68.819
Zambia;46.335
Zimbabwe;32.517
